iteration,model,n,BA,AUC
15,lateral_3windows,275,0.4841269841269841,0.48444444444444446
16,all_9windows,275,0.5227513227513227,0.5195767195767196
16,early_lateral,275,0.47724867724867726,0.48962962962962964
16,lateral_3windows,275,0.47010582010582014,0.45052910052910056
17,all_9windows,275,0.4992063492063492,0.5005291005291005
17,early_lateral,275,0.5374338624338625,0.5346560846560846
17,lateral_3windows,275,0.5265873015873016,0.5338095238095238
18,all_9windows,275,0.49193121693121694,0.5024867724867725
18,early_lateral,275,0.5243386243386243,0.5419047619047619
18,lateral_3windows,275,0.5458994708994709,0.5520634920634921
19,all_9windows,275,0.5006613756613757,0.4771428571428572
19,early_lateral,275,0.5228835978835978,0.5304761904761904
19,lateral_3windows,275,0.5194444444444445,0.5182539682539682
20,all_9windows,275,0.4767195767195767,0.4545502645502646
20,early_lateral,275,0.5134920634920634,0.5049735449735451
20,lateral_3windows,275,0.5060846560846561,0.5203703703703704
21,all_9windows,275,0.5136243386243386,0.5073544973544973
21,early_lateral,275,0.4832010582010582,0.49005291005291013
21,lateral_3windows,275,0.4541005291005291,0.4573544973544973
22,all_9windows,275,0.5470899470899471,0.5441269841269841
22,early_lateral,275,0.5062169312169312,0.49920634920634915
22,lateral_3windows,275,0.49867724867724866,0.5126984126984127
23,all_9windows,275,0.5100529100529101,0.5577777777777778
23,early_lateral,275,0.5447089947089947,0.5807936507936509
23,lateral_3windows,275,0.5375661375661376,0.560899470899471
24,all_9windows,275,0.4623015873015873,0.40613756613756613
24,early_lateral,275,0.5301587301587302,0.5121693121693123
24,lateral_3windows,275,0.519047619047619,0.49010582010582004
25,all_9windows,275,0.4869047619047619,0.47195767195767196
25,early_lateral,275,0.5097883597883598,0.5175661375661376
25,lateral_3windows,275,0.4915343915343915,0.49952380952380954
26,all_9windows,275,0.5068783068783068,0.46079365079365076
26,early_lateral,275,0.45701058201058203,0.42481481481481487
26,lateral_3windows,275,0.4697089947089947,0.46883597883597883
27,all_9windows,275,0.46851851851851856,0.4820634920634921
27,early_lateral,275,0.5301587301587302,0.5230687830687831
27,lateral_3windows,275,0.5123015873015873,0.5165608465608466
28,all_9windows,275,0.442989417989418,0.4306349206349206
28,early_lateral,275,0.414021164021164,0.4076719576719577
28,lateral_3windows,275,0.4391534391534392,0.4366137566137566
29,all_9windows,275,0.4978835978835978,0.484973544973545
29,early_lateral,275,0.5097883597883598,0.5221164021164021
29,lateral_3windows,275,0.4951058201058201,0.49666666666666665
30,all_9windows,275,0.49470899470899465,0.5078835978835978
30,early_lateral,275,0.5097883597883598,0.5552380952380952
30,lateral_3windows,275,0.5314814814814814,0.5413756613756614
31,all_9windows,275,0.4605820105820106,0.4496825396825397
31,early_lateral,275,0.4828042328042328,0.43174603174603177
31,lateral_3windows,275,0.44642857142857145,0.3987830687830688
32,all_9windows,275,0.4845238095238095,0.4659259259259259
32,early_lateral,275,0.48796296296296293,0.5011640211640211
32,lateral_3windows,275,0.5022486772486773,0.5047619047619047
33,all_9windows,275,0.546957671957672,0.5429629629629629
33,early_lateral,275,0.4843915343915344,0.5037566137566138
33,lateral_3windows,275,0.4841269841269841,0.5169312169312169
34,all_9windows,275,0.5222222222222221,0.4953968253968254
34,early_lateral,275,0.5461640211640211,0.5475132275132275
34,lateral_3windows,275,0.5497354497354496,0.5351851851851851
35,all_9windows,275,0.4613756613756614,0.4657142857142857
35,early_lateral,275,0.5170634920634921,0.511904761904762
35,lateral_3windows,275,0.49867724867724866,0.5074074074074074
36,all_9windows,275,0.49193121693121694,0.5059259259259259
36,early_lateral,275,0.5083333333333333,0.5327513227513228
36,lateral_3windows,275,0.5085978835978836,0.5174074074074074
37,all_9windows,275,0.47923280423280423,0.47047619047619044
37,early_lateral,275,0.5228835978835978,0.49201058201058206
37,lateral_3windows,275,0.4976190476190476,0.493915343915344
38,all_9windows,275,0.5588624338624338,0.5624338624338624
38,early_lateral,275,0.5243386243386243,0.5478835978835979
38,lateral_3windows,275,0.5205026455026456,0.5329629629629629
39,all_9windows,275,0.4711640211640212,0.47513227513227513
39,early_lateral,275,0.43902116402116403,0.41095238095238096
39,lateral_3windows,275,0.4908730158730159,0.4357142857142857
40,all_9windows,275,0.5243386243386243,0.5162433862433863
40,early_lateral,275,0.5207671957671958,0.5097354497354497
40,lateral_3windows,275,0.5095238095238095,0.5150793650793651
41,all_9windows,275,0.47658730158730156,0.48280423280423285
41,early_lateral,275,0.4843915343915344,0.46597883597883605
41,lateral_3windows,275,0.5242063492063492,0.5143915343915344
42,all_9windows,275,0.4896825396825397,0.4932804232804233
42,early_lateral,275,0.4794973544973545,0.46894179894179894
42,lateral_3windows,275,0.4335978835978836,0.40116402116402117
43,all_9windows,275,0.5187830687830688,0.5307407407407407
43,early_lateral,275,0.49378306878306877,0.4853439153439154
43,lateral_3windows,275,0.48306878306878304,0.4853439153439154
44,all_9windows,275,0.5047619047619047,0.5157142857142857
44,early_lateral,275,0.5207671957671958,0.534973544973545
44,lateral_3windows,275,0.43306878306878305,0.4444973544973545
45,all_9windows,275,0.4636243386243386,0.46190476190476193
45,early_lateral,275,0.41560846560846565,0.3836507936507937
45,lateral_3windows,275,0.4076719576719577,0.37296296296296294
46,all_9windows,275,0.5523809523809524,0.542010582010582
46,early_lateral,275,0.5592592592592592,0.5753439153439154
46,lateral_3windows,275,0.5558201058201058,0.5682539682539683
47,all_9windows,275,0.521031746031746,0.5274603174603175
47,early_lateral,275,0.5425925925925925,0.5364021164021164
47,lateral_3windows,275,0.5642857142857143,0.54994708994709
48,all_9windows,275,0.5255291005291005,0.5478306878306879
48,early_lateral,275,0.5228835978835978,0.5080423280423281
48,lateral_3windows,275,0.5194444444444445,0.5287301587301587
49,all_9windows,275,0.514021164021164,0.5337037037037037
49,early_lateral,275,0.4865079365079365,0.48931216931216925
49,lateral_3windows,275,0.49034391534391536,0.49095238095238103
50,all_9windows,275,0.4962962962962963,0.49370370370370376
50,early_lateral,275,0.5083333333333333,0.49783068783068785
50,lateral_3windows,275,0.50489417989418,0.4923280423280424
51,all_9windows,275,0.4753968253968254,0.4764021164021164
51,early_lateral,275,0.5301587301587302,0.5166137566137566
51,lateral_3windows,275,0.5121693121693122,0.5142328042328043
52,all_9windows,275,0.4708994708994709,0.42756613756613754
52,early_lateral,275,0.4423280423280423,0.3968253968253968
52,lateral_3windows,275,0.38862433862433865,0.35798941798941797
53,all_9windows,275,0.5351851851851852,0.5153439153439152
53,early_lateral,275,0.5207671957671958,0.5077777777777778
53,lateral_3windows,275,0.5424603174603174,0.5443915343915344
54,all_9windows,275,0.4828042328042328,0.47751322751322745
54,early_lateral,275,0.49523809523809526,0.5014814814814814
54,lateral_3windows,275,0.5060846560846561,0.48888888888888893
55,all_9windows,275,0.45211640211640214,0.44412698412698415
55,early_lateral,275,0.4917989417989418,0.46761904761904766
55,lateral_3windows,275,0.45515873015873015,0.4417460317460317
56,all_9windows,275,0.5042328042328043,0.524021164021164
56,early_lateral,275,0.4845238095238095,0.4674074074074074
56,lateral_3windows,275,0.47764550264550265,0.43820105820105815
57,all_9windows,275,0.521031746031746,0.5093650793650794
57,early_lateral,275,0.5156084656084656,0.5258201058201059
57,lateral_3windows,275,0.5047619047619047,0.4988888888888889
58,all_9windows,275,0.4887566137566138,0.4816402116402116
58,early_lateral,275,0.5268518518518519,0.48576719576719574
58,lateral_3windows,275,0.47658730158730156,0.44238095238095243
59,all_9windows,275,0.4554232804232804,0.4584656084656085
59,early_lateral,275,0.5353174603174603,0.5248677248677249
59,lateral_3windows,275,0.5023809523809524,0.5140740740740741
60,all_9windows,275,0.5185185185185185,0.5002645502645503
60,early_lateral,275,0.5316137566137566,0.5387830687830688
60,lateral_3windows,275,0.5096560846560847,0.5117460317460318
61,all_9windows,275,0.4855820105820106,0.48619047619047623
61,early_lateral,275,0.5374338624338625,0.5143386243386243
61,lateral_3windows,275,0.5007936507936508,0.4998941798941799
62,all_9windows,275,0.4896825396825397,0.4704232804232804
62,early_lateral,275,0.4001322751322751,0.3705291005291006
62,lateral_3windows,275,0.4976190476190476,0.4900529100529101
63,all_9windows,275,0.5252645502645503,0.5097354497354498
63,early_lateral,275,0.46865079365079365,0.4694708994708995
63,lateral_3windows,275,0.5197089947089947,0.5098412698412699
64,all_9windows,275,0.5162698412698412,0.49857142857142855
64,early_lateral,275,0.5447089947089947,0.5143915343915344
64,lateral_3windows,275,0.5267195767195767,0.5122751322751323
65,all_9windows,275,0.5021164021164021,0.5094708994708995
65,early_lateral,275,0.5243386243386243,0.5226455026455027
65,lateral_3windows,275,0.5387566137566138,0.5388888888888889
66,all_9windows,275,0.466931216931217,0.496878306878307
66,early_lateral,275,0.5228835978835978,0.5253439153439153
66,lateral_3windows,275,0.5153439153439153,0.5048148148148147
67,all_9windows,275,0.533068783068783,0.5317460317460317
67,early_lateral,275,0.5534391534391534,0.5417460317460318
67,lateral_3windows,275,0.4809523809523809,0.48084656084656086
68,all_9windows,275,0.532010582010582,0.535978835978836
68,early_lateral,275,0.5228835978835978,0.525079365079365
68,lateral_3windows,275,0.5011904761904762,0.5100529100529101
69,all_9windows,275,0.4654761904761905,0.4665608465608465
69,early_lateral,275,0.5280423280423281,0.5328571428571429
69,lateral_3windows,275,0.5349206349206349,0.5346031746031746
70,all_9windows,275,0.542989417989418,0.5274603174603174
70,early_lateral,275,0.49722222222222223,0.46788359788359785
70,lateral_3windows,275,0.4613756613756614,0.43772486772486774
71,all_9windows,275,0.5141534391534391,0.4768783068783069
71,early_lateral,275,0.5353174603174603,0.5246560846560847
71,lateral_3windows,275,0.5027777777777778,0.48359788359788364
72,all_9windows,275,0.5072751322751322,0.4964021164021164
72,early_lateral,275,0.551984126984127,0.5137037037037038
72,lateral_3windows,275,0.47910052910052914,0.4617989417989418
73,all_9windows,275,0.5216931216931217,0.5180952380952382
73,early_lateral,275,0.44034391534391537,0.44629629629629625
73,lateral_3windows,275,0.4693121693121693,0.4446031746031746
74,all_9windows,275,0.5145502645502645,0.5170899470899472
74,early_lateral,275,0.5280423280423281,0.5099470899470899
74,lateral_3windows,275,0.546031746031746,0.5356613756613756
75,all_9windows,275,0.5506613756613756,0.5481481481481482
75,early_lateral,275,0.5261904761904762,0.47460317460317464
75,lateral_3windows,275,0.4624338624338624,0.4157142857142857
76,all_9windows,275,0.49616402116402114,0.4990476190476191
76,early_lateral,275,0.4646825396825397,0.4787830687830687
76,lateral_3windows,275,0.46111111111111114,0.4444973544973545
77,all_9windows,275,0.533068783068783,0.5576190476190477
77,early_lateral,275,0.5316137566137566,0.5502645502645503
77,lateral_3windows,275,0.5421957671957672,0.5388359788359788
78,all_9windows,275,0.49669312169312174,0.4935978835978836
78,early_lateral,275,0.44312169312169314,0.3977777777777778
78,lateral_3windows,275,0.48333333333333334,0.4743915343915344
79,all_9windows,275,0.5263227513227513,0.5463492063492064
79,early_lateral,275,0.501058201058201,0.5002645502645503
79,lateral_3windows,275,0.4804232804232804,0.4714285714285714
80,all_9windows,275,0.4630952380952381,0.4642857142857143
80,early_lateral,275,0.4187830687830688,0.3738624338624338
80,lateral_3windows,275,0.45859788359788356,0.4424867724867725
81,all_9windows,275,0.4572751322751323,0.4517989417989418
81,early_lateral,275,0.5228835978835978,0.5372486772486772
81,lateral_3windows,275,0.5084656084656085,0.5164021164021164
82,all_9windows,275,0.5554232804232804,0.5351851851851852
82,early_lateral,275,0.5243386243386243,0.5425925925925925
82,lateral_3windows,275,0.5424603174603174,0.5506878306878307
83,all_9windows,275,0.4630952380952381,0.46555555555555556
83,early_lateral,275,0.42380952380952375,0.3595238095238095
83,lateral_3windows,275,0.4715608465608465,0.4123809523809524
84,all_9windows,275,0.4636243386243386,0.3939153439153439
84,early_lateral,275,0.47698412698412695,0.44904761904761903
84,lateral_3windows,275,0.4804232804232804,0.45089947089947086
85,all_9windows,275,0.41428571428571426,0.39529100529100525
85,early_lateral,275,0.46944444444444444,0.4477248677248677
85,lateral_3windows,275,0.4470899470899471,0.4014285714285714
86,all_9windows,275,0.5444444444444444,0.5521164021164021
86,early_lateral,275,0.47724867724867726,0.46095238095238095
86,lateral_3windows,275,0.4466931216931217,0.42380952380952386
87,all_9windows,275,0.5501322751322751,0.5522751322751323
87,early_lateral,275,0.5083333333333333,0.4782539682539683
87,lateral_3windows,275,0.4865079365079365,0.47269841269841273
88,all_9windows,275,0.4715608465608465,0.514021164021164
88,early_lateral,275,0.45026455026455026,0.4053968253968254
88,lateral_3windows,275,0.45013227513227516,0.4298412698412698
89,all_9windows,275,0.4697089947089947,0.4614814814814815
89,early_lateral,275,0.4406084656084656,0.39513227513227517
89,lateral_3windows,275,0.47314814814814815,0.4736507936507936
90,all_9windows,275,0.4466931216931217,0.4339153439153439
90,early_lateral,275,0.5228835978835978,0.5077777777777778
90,lateral_3windows,275,0.48677248677248675,0.4812698412698413
91,all_9windows,275,0.5153439153439153,0.5487301587301586
91,early_lateral,275,0.5461640211640211,0.567989417989418
91,lateral_3windows,275,0.5423280423280423,0.5522222222222222
92,all_9windows,275,0.5018518518518518,0.48597883597883595
92,early_lateral,275,0.551984126984127,0.5480423280423281
92,lateral_3windows,275,0.533994708994709,0.5313227513227513
93,all_9windows,275,0.41534391534391535,0.4098412698412698
93,early_lateral,275,0.4822751322751323,0.43555555555555553
93,lateral_3windows,275,0.5121693121693122,0.46925925925925926
94,all_9windows,275,0.5304232804232805,0.5434920634920636
94,early_lateral,275,0.5170634920634921,0.5577777777777777
94,lateral_3windows,275,0.5312169312169313,0.5564550264550264
95,all_9windows,275,0.5313492063492063,0.5481481481481482
95,early_lateral,275,0.5316137566137566,0.5403174603174603
95,lateral_3windows,275,0.5496031746031746,0.5597883597883598
96,all_9windows,275,0.5216931216931217,0.5216402116402117
96,early_lateral,275,0.49537037037037035,0.46973544973544973
96,lateral_3windows,275,0.5095238095238095,0.5017989417989418
97,all_9windows,275,0.5042328042328043,0.49777777777777776
97,early_lateral,275,0.49523809523809526,0.5096825396825397
97,lateral_3windows,275,0.49497354497354495,0.5094179894179894
98,all_9windows,275,0.5236772486772487,0.5417989417989418
98,early_lateral,275,0.5447089947089947,0.5427513227513228
98,lateral_3windows,275,0.5593915343915343,0.5488888888888889
99,all_9windows,275,0.5353174603174603,0.5386243386243386
99,early_lateral,275,0.5083333333333333,0.518095238095238
99,lateral_3windows,275,0.5267195767195767,0.532063492063492
100,all_9windows,275,0.5111111111111111,0.5464550264550265
100,early_lateral,275,0.5571428571428572,0.5242328042328043
100,lateral_3windows,275,0.47685185185185186,0.4934920634920635
101,all_9windows,275,0.5193121693121693,0.507037037037037
101,early_lateral,275,0.5498677248677248,0.5212698412698413
101,lateral_3windows,275,0.4335978835978836,0.39666666666666667
102,all_9windows,275,0.5214285714285714,0.5336507936507937
102,early_lateral,275,0.4394179894179894,0.4044444444444445
102,lateral_3windows,275,0.5095238095238095,0.5164550264550265
103,all_9windows,275,0.5355820105820106,0.5155555555555555
103,early_lateral,275,0.47724867724867726,0.42460317460317454
103,lateral_3windows,275,0.5136243386243386,0.4748677248677249
104,all_9windows,275,0.5415343915343915,0.5551851851851852
104,early_lateral,275,0.5388888888888889,0.5700529100529101
104,lateral_3windows,275,0.5641534391534391,0.6038624338624339
105,all_9windows,275,0.5354497354497354,0.5258201058201057
105,early_lateral,275,0.5170634920634921,0.5402116402116401
105,lateral_3windows,275,0.5205026455026456,0.5411640211640212
106,all_9windows,275,0.5478835978835979,0.5507407407407408
106,early_lateral,275,0.551984126984127,0.5494708994708994
106,lateral_3windows,275,0.5376984126984127,0.5310052910052909
107,all_9windows,275,0.4646825396825397,0.48444444444444446
107,early_lateral,275,0.5025132275132276,0.5092592592592593
107,lateral_3windows,275,0.49867724867724866,0.4894708994708995
108,all_9windows,275,0.5243386243386243,0.5214814814814814
108,early_lateral,275,0.5156084656084656,0.5016931216931216
108,lateral_3windows,275,0.5011904761904762,0.5157671957671958
109,all_9windows,275,0.48214285714285715,0.4558201058201058
109,early_lateral,275,0.46904761904761905,0.452010582010582
109,lateral_3windows,275,0.4541005291005291,0.4576190476190476
110,all_9windows,275,0.4477513227513228,0.4067195767195767
110,early_lateral,275,0.4809523809523809,0.4667724867724868
110,lateral_3windows,275,0.49193121693121694,0.4611111111111112
111,all_9windows,275,0.5305555555555556,0.5308994708994709
111,early_lateral,275,0.5388888888888889,0.5314285714285714
111,lateral_3windows,275,0.5279100529100529,0.5408994708994709
112,all_9windows,275,0.5136243386243386,0.5022751322751323
112,early_lateral,275,0.4865079365079365,0.4932804232804233
112,lateral_3windows,275,0.48664021164021165,0.49089947089947084
113,all_9windows,275,0.5277777777777778,0.5358730158730158
113,early_lateral,275,0.5170634920634921,0.5422751322751324
113,lateral_3windows,275,0.5205026455026456,0.553015873015873
114,all_9windows,275,0.4801587301587301,0.44989417989417985
114,early_lateral,275,0.4613756613756614,0.4576719576719577
114,lateral_3windows,275,0.43227513227513226,0.41767195767195764
115,all_9windows,275,0.4628306878306878,0.41936507936507933
115,early_lateral,275,0.4719576719576719,0.47047619047619055
115,lateral_3windows,275,0.4720899470899471,0.46015873015873016
116,all_9windows,275,0.49417989417989416,0.4715343915343915
116,early_lateral,275,0.5461640211640211,0.5515343915343915
116,lateral_3windows,275,0.5386243386243386,0.5450793650793652
117,all_9windows,275,0.5235449735449735,0.52
117,early_lateral,275,0.45952380952380956,0.4667195767195767
117,lateral_3windows,275,0.5243386243386243,0.5242328042328042
118,all_9windows,275,0.4994708994708995,0.4979365079365079
118,early_lateral,275,0.4298941798941799,0.41841269841269846
118,lateral_3windows,275,0.5169312169312169,0.5094708994708994
119,all_9windows,275,0.4572751322751323,0.4388359788359789
119,early_lateral,275,0.453042328042328,0.4052910052910053
119,lateral_3windows,275,0.4638888888888889,0.4120105820105821
120,all_9windows,275,0.5120370370370371,0.538941798941799
120,early_lateral,275,0.5316137566137566,0.5729100529100528
120,lateral_3windows,275,0.5496031746031746,0.5867195767195768
121,all_9windows,275,0.533068783068783,0.5402116402116403
121,early_lateral,275,0.39576719576719577,0.3691005291005291
121,lateral_3windows,275,0.45396825396825397,0.49164021164021166
122,all_9windows,275,0.5596560846560847,0.5635978835978837
122,early_lateral,275,0.5592592592592592,0.5798412698412698
122,lateral_3windows,275,0.5593915343915343,0.562857142857143
123,all_9windows,275,0.47843915343915344,0.4847619047619047
123,early_lateral,275,0.501058201058201,0.49666666666666665
123,lateral_3windows,275,0.48677248677248675,0.48740740740740734
124,all_9windows,275,0.4288359788359788,0.38989417989417996
124,early_lateral,275,0.4591269841269841,0.44671957671957674
124,lateral_3windows,275,0.49497354497354495,0.4498941798941799
125,all_9windows,275,0.4997354497354497,0.4848677248677249
125,early_lateral,275,0.4736772486772487,0.4544973544973545
125,lateral_3windows,275,0.45132275132275135,0.40126984126984133
126,all_9windows,275,0.48822751322751323,0.47645502645502646
126,early_lateral,275,0.4899470899470899,0.47238095238095235
126,lateral_3windows,275,0.4825396825396825,0.4464021164021164
127,all_9windows,275,0.5625661375661375,0.5595767195767196
127,early_lateral,275,0.5461640211640211,0.5411111111111111
127,lateral_3windows,275,0.5205026455026456,0.5357671957671958
128,all_9windows,275,0.48716931216931214,0.44185185185185183
128,early_lateral,275,0.5353174603174603,0.5151851851851852
128,lateral_3windows,275,0.5095238095238095,0.4989417989417989
129,all_9windows,275,0.5105820105820106,0.48343915343915345
129,early_lateral,275,0.5353174603174603,0.5171957671957672
129,lateral_3windows,275,0.4996031746031746,0.476031746031746
130,all_9windows,275,0.471031746031746,0.45862433862433866
130,early_lateral,275,0.4989417989417989,0.5025925925925927
130,lateral_3windows,275,0.43306878306878305,0.429047619047619
131,all_9windows,275,0.533068783068783,0.5722751322751323
131,early_lateral,275,0.48068783068783066,0.4635978835978837
131,lateral_3windows,275,0.5011904761904762,0.5275661375661376
132,all_9windows,275,0.49404761904761907,0.4928571428571428
132,early_lateral,275,0.5170634920634921,0.5191005291005291
132,lateral_3windows,275,0.5093915343915344,0.5206349206349206
133,all_9windows,275,0.492989417989418,0.45714285714285713
133,early_lateral,275,0.5447089947089947,0.5246560846560847
133,lateral_3windows,275,0.5121693121693122,0.5045502645502645
134,all_9windows,275,0.539021164021164,0.5288888888888889
134,early_lateral,275,0.5374338624338625,0.5351851851851852
134,lateral_3windows,275,0.5157407407407407,0.5237566137566138
135,all_9windows,275,0.4246031746031746,0.40910052910052913
135,early_lateral,275,0.4287037037037037,0.4102116402116402
135,lateral_3windows,275,0.47962962962962963,0.48841269841269846
136,all_9windows,275,0.5222222222222221,0.5187830687830688
136,early_lateral,275,0.47923280423280423,0.5256084656084655
136,lateral_3windows,275,0.46124338624338623,0.5096296296296297
137,all_9windows,275,0.5226190476190476,0.5440211640211641
137,early_lateral,275,0.4363756613756614,0.4085185185185185
137,lateral_3windows,275,0.4648148148148148,0.3947089947089948
138,all_9windows,275,0.4281746031746032,0.3882539682539683
138,early_lateral,275,0.4484126984126984,0.4252910052910053
138,lateral_3windows,275,0.4617724867724868,0.46105820105820106
139,all_9windows,275,0.551984126984127,0.5666137566137566
139,early_lateral,275,0.5898148148148148,0.5967724867724868
139,lateral_3windows,275,0.5895502645502646,0.5857142857142856
140,all_9windows,275,0.5224867724867726,0.533968253968254
140,early_lateral,275,0.48068783068783066,0.5189417989417989
140,lateral_3windows,275,0.5206349206349207,0.511058201058201
141,all_9windows,275,0.47923280423280423,0.48608465608465606
141,early_lateral,275,0.46865079365079365,0.47439153439153436
141,lateral_3windows,275,0.4902116402116402,0.5015873015873016
142,all_9windows,275,0.4838624338624339,0.45746031746031746
142,early_lateral,275,0.47923280423280423,0.492063492063492
142,lateral_3windows,275,0.446031746031746,0.4479365079365079
143,all_9windows,275,0.5332010582010582,0.512010582010582
143,early_lateral,275,0.5280423280423281,0.5364550264550264
143,lateral_3windows,275,0.5277777777777778,0.5334920634920635
144,all_9windows,275,0.4743386243386244,0.4622222222222222
144,early_lateral,275,0.49722222222222223,0.4743386243386244
144,lateral_3windows,275,0.523015873015873,0.5052380952380953
145,all_9windows,275,0.5026455026455027,0.5077777777777779
145,early_lateral,275,0.551984126984127,0.5480952380952381
145,lateral_3windows,275,0.5665343915343914,0.5393121693121693
146,all_9windows,275,0.5075396825396825,0.5332275132275133
146,early_lateral,275,0.4575396825396826,0.4254497354497355
146,lateral_3windows,275,0.45806878306878307,0.39201058201058203
147,all_9windows,275,0.5244708994708995,0.5226984126984128
147,early_lateral,275,0.5243386243386243,0.5452380952380953
147,lateral_3windows,275,0.513095238095238,0.5449206349206349
148,all_9windows,275,0.5383597883597884,0.515978835978836
148,early_lateral,275,0.5461640211640211,0.5653968253968253
148,lateral_3windows,275,0.5276455026455027,0.5487830687830687
149,all_9windows,275,0.4906084656084656,0.47994708994708996
149,early_lateral,275,0.5083333333333333,0.5206878306878306
149,lateral_3windows,275,0.50489417989418,0.5095767195767196
150,all_9windows,275,0.4865079365079365,0.48269841269841274
150,early_lateral,275,0.501058201058201,0.5373015873015873
150,lateral_3windows,275,0.5085978835978836,0.5281481481481481
151,all_9windows,275,0.5541005291005291,0.5285185185185185
151,early_lateral,275,0.3896825396825397,0.36788359788359787
151,lateral_3windows,275,0.37526455026455025,0.34121693121693125
152,all_9windows,275,0.45132275132275135,0.41174603174603175
152,early_lateral,275,0.5170634920634921,0.5296825396825398
152,lateral_3windows,275,0.5243386243386243,0.5052380952380952
153,all_9windows,275,0.48637566137566135,0.4826984126984126
153,early_lateral,275,0.5388888888888889,0.545978835978836
153,lateral_3windows,275,0.5206349206349207,0.5077248677248677
154,all_9windows,275,0.5283068783068783,0.49703703703703705
154,early_lateral,275,0.4105820105820106,0.36433862433862435
154,lateral_3windows,275,0.42433862433862435,0.39169312169312165
155,all_9windows,275,0.5464285714285715,0.5535978835978836
155,early_lateral,275,0.4734126984126984,0.49571428571428566
155,lateral_3windows,275,0.49497354497354495,0.5044444444444445
156,all_9windows,275,0.5144179894179894,0.5292063492063492
156,early_lateral,275,0.5425925925925925,0.5385185185185185
156,lateral_3windows,275,0.53505291005291,0.5378835978835979
157,all_9windows,275,0.5099206349206349,0.5129629629629628
157,early_lateral,275,0.5316137566137566,0.5421164021164021
157,lateral_3windows,275,0.53505291005291,0.5433862433862434
158,all_9windows,275,0.49616402116402114,0.5207407407407407
158,early_lateral,275,0.48293650793650794,0.46402116402116406
158,lateral_3windows,275,0.4486772486772487,0.41185185185185186
159,all_9windows,275,0.4752645502645503,0.4003174603174603
159,early_lateral,275,0.4984126984126984,0.4691534391534391
159,lateral_3windows,275,0.5054232804232803,0.48910052910052915
160,all_9windows,275,0.492989417989418,0.4658201058201058
160,early_lateral,275,0.49523809523809526,0.5111111111111111
160,lateral_3windows,275,0.5022486772486773,0.5151851851851852
161,all_9windows,275,0.5349206349206349,0.5415873015873016
161,early_lateral,275,0.5388888888888889,0.5570899470899471
161,lateral_3windows,275,0.5205026455026456,0.5557142857142857
162,all_9windows,275,0.48134920634920636,0.4493121693121693
162,early_lateral,275,0.567989417989418,0.5404232804232804
162,lateral_3windows,275,0.5313492063492063,0.5317989417989418
163,all_9windows,275,0.5046296296296297,0.5013756613756614
163,early_lateral,275,0.5243386243386243,0.527089947089947
163,lateral_3windows,275,0.5169312169312169,0.5197354497354497
164,all_9windows,275,0.5076719576719577,0.5122222222222221
164,early_lateral,275,0.5318783068783068,0.521957671957672
164,lateral_3windows,275,0.5062169312169312,0.48984126984126986
165,all_9windows,275,0.5083333333333333,0.5138095238095238
165,early_lateral,275,0.5170634920634921,0.5339153439153439
165,lateral_3windows,275,0.502910052910053,0.4894179894179894
166,all_9windows,275,0.5345238095238095,0.5034391534391534
166,early_lateral,275,0.5243386243386243,0.5353968253968253
166,lateral_3windows,275,0.5206349206349207,0.5287830687830688
167,all_9windows,275,0.5279100529100529,0.5143915343915344
167,early_lateral,275,0.5006613756613757,0.49164021164021166
167,lateral_3windows,275,0.5231481481481481,0.51
168,all_9windows,275,0.45806878306878307,0.4784126984126984
168,early_lateral,275,0.5097883597883598,0.5212169312169312
168,lateral_3windows,275,0.4841269841269841,0.5151322751322751
169,all_9windows,275,0.5502645502645502,0.5454497354497354
169,early_lateral,275,0.4693121693121693,0.4513756613756613
169,lateral_3windows,275,0.5167989417989418,0.49693121693121695
170,all_9windows,275,0.5552910052910053,0.5660846560846562
170,early_lateral,275,0.5607142857142857,0.563015873015873
170,lateral_3windows,275,0.5314814814814814,0.5576190476190477
171,all_9windows,275,0.46706349206349207,0.45142857142857146
171,early_lateral,275,0.4466931216931217,0.43793650793650796
171,lateral_3windows,275,0.4503968253968254,0.4313756613756614
172,all_9windows,275,0.4935185185185186,0.5284126984126984
172,early_lateral,275,0.5301587301587302,0.5335449735449735
172,lateral_3windows,275,0.5157407407407407,0.5283597883597884
173,all_9windows,275,0.47870370370370374,0.49513227513227515
173,early_lateral,275,0.46865079365079365,0.45835978835978836
173,lateral_3windows,275,0.5014550264550265,0.4907407407407407
174,all_9windows,275,0.4771164021164021,0.48312169312169306
174,early_lateral,275,0.5083333333333333,0.5195767195767196
174,lateral_3windows,275,0.5157407407407407,0.5055026455026455
175,all_9windows,275,0.5186507936507936,0.536878306878307
175,early_lateral,275,0.5301587301587302,0.5251322751322751
175,lateral_3windows,275,0.5013227513227514,0.5169312169312169
176,all_9windows,275,0.49682539682539684,0.48629629629629634
176,early_lateral,275,0.501058201058201,0.5028571428571429
176,lateral_3windows,275,0.47619047619047616,0.4435449735449736
177,all_9windows,275,0.4899470899470899,0.50010582010582
177,early_lateral,275,0.5316137566137566,0.5526455026455026
177,lateral_3windows,275,0.557010582010582,0.5526984126984127
178,all_9windows,275,0.5556878306878307,0.54
178,early_lateral,275,0.5607142857142857,0.5456084656084655
178,lateral_3windows,275,0.5531746031746032,0.5445502645502646
