N100_amp,N100_lat_ms,N100_fwhm_ms,N200_amp,N200_lat_ms,N200_fwhm_ms,P300_amp,P300_lat_ms,P300_fwhm_ms,R2,RMSE,fit_status,cue,channel,reliable,quality_reason
-30.86587627002254,80.00000002531405,141.29999999978557,-39.008551053580575,259.99999999999994,188.39999999999998,21.67262702953724,519.9999999999999,353.24999999999994,0.6126367554482339,28.624202593698374,gaussian,-1,Fz,False,潜伏期近边界；宽度近边界
-9.320411856095111e-30,80.05669674895049,53.31784691504531,-149.99999989384196,259.99999999999994,188.39999999999998,142.47104980643425,255.86159016805703,170.4420533236022,0.5539812617693254,14.06512631382637,gaussian,-1,F3,True,通过工程筛查
-27.29222677381788,82.84829523891827,134.4443671616719,-37.07850442213051,259.999999999994,188.3999999999998,17.228714494376174,519.9999999999999,353.2499999999995,0.5246566252852192,32.74877032034489,gaussian,-1,F4,False,潜伏期近边界；宽度近边界
-38.526811867812064,83.71625455062338,141.29999859704762,-49.96480954181154,259.99999999999955,188.39999999999998,2.9423932757666997,519.9999999999999,353.24999999989075,0.6559981224989743,25.673551177805745,gaussian,1,Fz,False,幅度弱；潜伏期近边界；宽度近边界
-2.6921150625633326e-08,103.54798178075221,23.550008172149937,-25.96081675089366,259.999999999996,188.39999999999603,1.1595549682163288e-13,519.9999999998239,353.24999999963313,0.48453606643852676,19.570011899795947,gaussian,1,F3,False,R²不足0.5；幅度弱；潜伏期近边界；宽度近边界
-37.58544863783518,84.3036678477388,129.41474904128916,-58.0117242432666,259.99999999999994,188.39999999999998,13.114377125195773,519.9999999999999,353.24999999999653,0.5855528777338237,33.934419046271934,gaussian,1,F4,False,潜伏期近边界；宽度近边界
