dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
A2,1,0,1,5133,5185,0.203125,5701,platform_onset_hypothesis,6134,-1.0,6134,-1,6134,explicit_click,2.21875,3.91015625,1.69140625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.81015625,0.1,causal,False,0,48707,False,block_boundary_24s_buffer,5069,6109,,,
A2,2,0,-1,7418,7470,0.203125,7985,platform_onset_hypothesis,8490,-1.0,8490,-1,8490,explicit_click,2.21484375,4.1875,1.97265625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,4.0875,0.1,causal,False,0,48707,True,retained,7354,8465,0.0,636.3480264580421,12.652875667622311
A2,3,0,-1,9778,9830,0.203125,10345,platform_onset_hypothesis,10730,-1.0,10730,-1,10730,explicit_click,2.21484375,3.71875,1.50390625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.61875,0.1,causal,False,0,48707,True,retained,9714,10705,0.0,565.0038250259274,10.009677946549374
A2,4,0,-1,12014,12066,0.203125,12581,platform_onset_hypothesis,12969,-1.0,12969,-1,12969,explicit_click,2.21484375,3.73046875,1.515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.63046875,0.1,causal,False,0,48707,True,retained,11950,12944,0.0,224.81127602234508,8.723892228278359
A2,5,0,1,14255,14307,0.203125,14822,platform_onset_hypothesis,15193,-1.0,15193,-1,15193,explicit_click,2.21484375,3.6640625,1.44921875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.5640625,0.1,causal,False,0,48707,True,retained,14191,15168,0.0,486.6206152786602,10.997352355333533
A2,6,0,-1,16479,16531,0.203125,17046,platform_onset_hypothesis,17389,1.0,17389,1,17389,explicit_click,2.21484375,3.5546875,1.33984375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.4546875,0.1,causal,False,0,48707,True,retained,16415,17364,0.0,430.2815006978359,12.503813338161564
A2,7,0,1,18675,18727,0.203125,19243,platform_onset_hypothesis,19580,-1.0,19580,-1,19580,explicit_click,2.21875,3.53515625,1.31640625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.43515625,0.1,causal,False,0,48707,True,retained,18611,19555,0.0,445.20942527729505,9.73893017156849
A2,8,0,1,20864,20916,0.203125,21431,platform_onset_hypothesis,21772,-1.0,21772,-1,21772,explicit_click,2.21484375,3.546875,1.33203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.446875,0.1,causal,False,0,48707,True,retained,20800,21747,0.0,383.52080012859363,9.663848942410368
A2,9,0,-1,23056,23108,0.203125,23624,platform_onset_hypothesis,24050,1.0,24050,1,24050,explicit_click,2.21875,3.8828125,1.6640625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.7828125,0.1,causal,False,0,48707,True,retained,22992,24025,0.0,376.6816136591945,10.246056659110991
A2,10,0,-1,25337,25389,0.203125,25904,platform_onset_hypothesis,26248,-1.0,26248,-1,26248,explicit_click,2.21484375,3.55859375,1.34375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.45859375,0.1,causal,False,0,48707,True,retained,25273,26223,0.0,527.7652321027008,10.231796296356379
A2,11,0,1,27533,27585,0.203125,28100,platform_onset_hypothesis,28478,1.0,28478,1,28478,explicit_click,2.21484375,3.69140625,1.4765625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.59140625,0.1,causal,False,0,48707,True,retained,27469,28453,0.0,599.5730474334287,13.737118622785104
A2,12,0,1,29761,29814,0.20703125,30329,platform_onset_hypothesis,30687,-1.0,30687,-1,30687,explicit_click,2.21875,3.6171875,1.3984375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.5171875,0.1,causal,False,0,48707,True,retained,29697,30662,0.0,732.2517275172345,10.609531480624128
A2,13,0,1,31970,32022,0.203125,32537,platform_onset_hypothesis,32883,-1.0,32883,-1,32883,explicit_click,2.21484375,3.56640625,1.3515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.46640625,0.1,causal,False,0,48707,True,retained,31906,32858,0.0,489.67545844609845,10.067602270164627
A2,14,0,-1,34166,34218,0.203125,34734,platform_onset_hypothesis,35127,-1.0,35127,-1,35127,explicit_click,2.21875,3.75390625,1.53515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.65390625,0.1,causal,False,0,48707,True,retained,34102,35102,0.0,945.2818531767618,10.806235533731808
A2,15,0,-1,36415,36467,0.203125,36982,platform_onset_hypothesis,37415,1.0,37415,1,37415,explicit_click,2.21484375,3.90625,1.69140625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.80625,0.1,causal,False,0,48707,True,retained,36351,37390,0.0,263.9241200715152,12.543844932043811
