dataset,model,stage,MSE,zero_MSE,baseline_MSE,normalized_MSE,RMSE,NRMSE,S_zero,S_train_baseline,n_trials
B1,M2_no_feedback,maintenance,91877.76472301765,91434.57311776378,94087.89362133945,1.3286721315993826,303.11345190046853,1.1526804117357867,-0.004847090002630283,0.023490045459159226,64
B1,M2_no_feedback,retrieval,103193.44891005997,102974.56045988796,103381.47550049225,1.506356959562435,321.23737159623875,1.2273373454606664,-0.0021256555909969777,0.0018187648176039017,64
B1,M2_no_direct_memory,encoding,26523.015037927966,26634.761749932135,26642.810688924143,0.3857655006382443,162.85888074627053,0.6211002339705277,0.004195521366150534,0.004496359351679691,64
B1,M2_no_direct_memory,maintenance,91817.69419164317,91434.57311776378,94087.89362133945,1.327688447387082,303.01434651125544,1.1522536384785609,-0.004190111692061516,0.024128496688774703,64
B1,M2_no_direct_memory,retrieval,103120.18207430164,102974.56045988796,103381.47550049225,1.5060000114014684,321.12331287887156,1.2271919211767441,-0.0014141513570278264,0.00252746853269048,64
B2,M0,encoding,74240.42257422722,73545.04224899405,76659.19279741017,0.41505038295141206,272.47095730412667,0.6442440399036782,-0.009455162495914937,0.031552252703405226,71
B2,M0,maintenance,209504.68042330345,210966.8677569142,207142.88257194913,1.264438857804698,457.7168124761242,1.1244727021162844,0.0069308861109677045,-0.011401781330980354,71
B2,M0,retrieval,224835.72992021116,224165.20551476107,201900.90523377535,1.426820390628148,474.1684615410552,1.1944958730059088,-0.0029912064359423063,-0.11359446189644484,71
B2,M1,encoding,77799.18172315859,73545.04224899405,76659.19279741017,0.4402585883348553,278.9250467834658,0.6635198477324211,-0.05784400068412121,-0.014870870461173524,71
B2,M1,maintenance,200571.15858926688,210966.8677569142,207142.88257194913,1.2032654901557835,447.8517149562642,1.0969345879111405,0.04927650146290141,0.031725560159662325,71
B2,M1,retrieval,210926.57826321447,224165.20551476107,201900.90523377535,1.323721196807676,459.26743653694245,1.150530832619307,0.059057458186457246,-0.04470347975403355,71
B2,M2,encoding,77942.78630191983,73545.04224899405,76659.19279741017,0.4401837673658162,279.18235313486383,0.6634634634746787,-0.05979660788060692,-0.016744156280145805,71
B2,M2,maintenance,203865.84432237837,210966.8677569142,207142.88257194913,1.2221024255090176,451.515054369595,1.1054874153553345,0.033659424866268384,0.01582018271099661,71
B2,M2,retrieval,198245.95123315873,224165.20551476107,201900.90523377535,1.230816149264169,445.2481906006567,1.1094215381288435,0.11562567982877958,0.018102712300297252,71
B2,M3,encoding,78301.16285821144,73545.04224899405,76659.19279741017,0.4379292191884422,279.82344944305765,0.6617622074343942,-0.06466949319459303,-0.021419088838315226,71
B2,M3,maintenance,209026.91196105522,210966.8677569142,207142.88257194913,1.2498528373093543,457.1946105993106,1.1179681736567255,0.00919554722732241,-0.009095313175685238,71
B2,M3,retrieval,198661.5978653309,224165.20551476107,201900.90523377535,1.2309623518077852,445.7147045648493,1.1094874275122657,0.11377148202311338,0.01604404578916452,71
B2,M2_no_feedback,encoding,78374.11741050193,73545.04224899405,76659.19279741017,0.4425621914875562,279.95377727493144,0.665253479124729,-0.06566146423790964,-0.02237076272931615,71
B2,M2_no_feedback,maintenance,203610.94977837132,210966.8677569142,207142.88257194913,1.2195426735925363,451.2327002538394,1.1043290603767233,0.03486764560119793,0.017050707944797572,71
B2,M2_no_feedback,retrieval,199214.48079238532,224165.20551476107,201900.90523377535,1.2378169154489036,446.3344942891881,1.1125722068472246,0.11130507370704668,0.013305658230107986,71
B2,M2_no_direct_memory,encoding,76674.81078581206,73545.04224899405,76659.19279741017,0.4323913276077241,276.90216825769363,0.6575646946177418,-0.04255580581790763,-0.00020373275313723127,71
B2,M2_no_direct_memory,maintenance,201641.49749266403,210966.8677569142,207142.88257194913,1.2109836220203127,449.0450951660245,1.1004470100919501,0.04420300857381687,0.026558407467243028,71
B2,M2_no_direct_memory,retrieval,203543.84236676802,224165.20551476107,201900.90523377535,1.2720609522669593,451.1583340322641,1.127856795992718,0.0919918106855131,-0.008137344065349161,71
